School - Enrollment Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Year,County Number,County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Economic Development Region,School Classification,Grade,Total Enrollment,Filter Groups,Total Female Count,Total Female Percent,Total Male Count,Total Male Percent,Total American Indian Count,Total American Indian Percent,American Indian Female Count,American Indian Male Count,Total Asian Count,Total Asian Percent,Asian Female Count,Asian Male Count,Total Black or African American Count,Total Black or African American Percent,Black or African American Female Count,Black or African American Male Count,Total Hispanic or Latino Count,Total Hispanic or Latino Percent,Hispanic or Latino Female Count,Hispanic or Latino Male Count,Total Native Hawaiian or Pacific Islander Count,Total Native Hawaiian or Pacific Islander Percent,Native Hawaiian or Pacific Islander Female Count,Native Hawaiian or Pacific Islander Male Count,Total Other Indigenous Peoples Count,Total Other Indigenous Peoples Percent,Other Indigenous Peoples Female Count,Other Indigenous Peoples Male Count,Total White Count,Total White Percent,White Female Count,White Male Count,Total Two or More Races Count,Total Two or More Races Percent,Two or More Races Female Count,Two or More Races Male Count,Total Students of Color or American Indian Count,Total Students of Color or American Indian Percent,Total Students Eligible for Free or Reduced Priced Meals Count,Total Students Eligible for Free or Reduced Priced Meals Percent,Total Students Receiving Special Education Services Count,Total Students Receiving Special Education Services Percent,Total English Learner Identified Count,Total English Learner Identified Percent,Total Students Experiencing Homelessness Count,Total Students Experiencing Homelessness Percent,Additional Suppression Free or Reduced Priced Meals Applied,Additional Suppression Special Education Applied,Additional Suppression English Learner Identified Applied,Additional Suppression Homeless Applied
23-24,01,Aitkin,0001,01,Aitkin Public School District,001,Aitkin Secondary School,3,03,33,7,78,N,32,41.03%,46,58.97%,1,1.28%,0,1,0,0.00%,0,0,0,0.00%,0,0,2,2.56%,0,2,0,0.00%,0,0,0,0.00%,0,0,72,92.31%,32,40,3,3.85%,0,3,6,7.69%,44,56.41%,18,23.08%,0,0.00%,0,0.00%,N,N,N,N
23-24,01,Aitkin,0001,01,Aitkin Public School District,001,Aitkin Secondary School,3,03,33,8,87,N,36,41.38%,51,58.62%,2,2.30%,1,1,2,2.30%,1,1,0,0.00%,0,0,1,1.15%,0,1,0,0.00%,0,0,0,0.00%,0,0,81,93.10%,33,48,1,1.15%,1,0,6,6.90%,50,57.47%,10,11.49%,0,0.00%,3,3.45%,N,N,N,N
23-24,01,Aitkin,0001,01,Aitkin Public School District,001,Aitkin Secondary School,3,03,33,9,81,N,26,32.10%,55,67.90%,3,3.70%,0,3,0,0.00%,0,0,1,1.23%,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,74,91.36%,24,50,3,3.70%,1,2,7,8.64%,,,,,,,,,Y,Y,Y,Y
23-24,01,Aitkin,0001,01,Aitkin Public School District,001,Aitkin Secondary School,3,03,33,10,102,N,55,53.92%,47,46.08%,3,2.94%,0,3,3,2.94%,1,2,3,2.94%,1,2,1,0.98%,0,1,0,0.00%,0,0,0,0.00%,0,0,90,88.24%,51,39,2,1.96%,2,0,12,11.76%,,,,,,,,,Y,Y,Y,Y
23-24,01,Aitkin,0001,01,Aitkin Public School District,001,Aitkin Secondary School,3,03,33,11,93,N,45,48.39%,48,51.61%,2,2.15%,2,0,0,0.00%,0,0,1,1.08%,1,0,2,2.15%,1,1,0,0.00%,0,0,0,0.00%,0,0,86,92.47%,41,45,2,2.15%,0,2,7,7.53%,,,,,,,,,Y,Y,Y,Y
23-24,01,Aitkin,0001,01,Aitkin Public School District,001,Aitkin Secondary School,3,03,33,12,79,N,42,53.16%,37,46.84%,0,0.00%,0,0,0,0.00%,0,0,1,1.27%,0,1,1,1.27%,0,1,0,0.00%,0,0,0,0.00%,0,0,76,96.20%,42,34,1,1.27%,0,1,3,3.80%,,,,,,,,,Y,Y,Y,Y
23-24,01,Aitkin,0001,01,Aitkin Public School District,001,Aitkin Secondary School,3,03,33,All Grades,520,N,236,45.38%,284,54.62%,11,2.12%,3,8,5,0.96%,2,3,6,1.15%,3,3,7,1.35%,1,6,0,0.00%,0,0,0,0.00%,0,0,479,92.12%,223,256,12,2.31%,4,8,41,7.88%,245,47.12%,84,16.15%,0,0.00%,6,1.15%,N,N,N,N
23-24,01,Aitkin,0001,01,Aitkin Public School District,002,Rippleside Elementary,3,03,10,ECSE,13,N,6,46.15%,7,53.85%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,12,92.31%,6,6,1,7.69%,0,1,1,7.69%,9,69.23%,,>=90%,0,0.00%,0,0.00%,N,Y,N,N
23-24,01,Aitkin,0001,01,Aitkin Public School District,002,Rippleside Elementary,3,03,10,KG,55,N,28,50.91%,27,49.09%,1,1.82%,0,1,0,0.00%,0,0,0,0.00%,0,0,2,3.64%,1,1,0,0.00%,0,0,0,0.00%,0,0,51,92.73%,26,25,1,1.82%,1,0,4,7.27%,30,54.55%,7,12.73%,0,0.00%,1,1.82%,N,N,N,N
23-24,01,Aitkin,0001,01,Aitkin Public School District,002,Rippleside Elementary,3,03,10,1,76,N,38,50.00%,38,50.00%,2,2.63%,0,2,0,0.00%,0,0,0,0.00%,0,0,3,3.95%,0,3,0,0.00%,0,0,0,0.00%,0,0,69,90.79%,38,31,2,2.63%,0,2,7,9.21%,44,57.89%,12,15.79%,0,0.00%,0,0.00%,N,N,N,N
