School Name,Free/Reduced Lunch Count
Aitkin Secondary School,245
Rippleside Elementary,244
Aitkin Alternative Learning Program,9
Armatage Elementary,81
Lake Harriet Lower Elementary,27
Bancroft Elementary,227
Bethune Elementary,195
Burroughs Elementary,38
Hale Elementary,47
Hiawatha Elementary,60
Howe Elementary,74
Kenny Elementary,38
Kenwood Elementary,176
Loring Elementary,191
Lyndale Elementary,293
Jenny Lind Elementary,176
Northrop Elementary,88
Pillsbury Elementary,247
Pratt Elementary,144
Las Estrellas Elementary,299
Waite Park Elementary,79
Lake Nokomis Wenonah Elementary,52
Windom Elementary,131
Ella Baker Elementary,484
Dowling Elementary,119
Early Childhood Special Education,284
Sullivan Elementary,505
Webster Elementary,182
Barton Elementary,158
Field Elementary,38
Lake Harriet Upper Elementary,33
Lake Nokomis Keewaydin Elementary,108
Seward Elementary,316
Folwell Elementary,
Marcy Elementary,300
Hmong International Academy Elementary,177
Anishinabe Academy Elementary,209
Prekindergarten North,
Bryn Mawr Elementary,299
Green Central Elementary,279
Emerson Elementary,291
Lucy Laney Elementary,328
Hall Academy Elementary,
Nellie Stone Johnson Elementary,
Whittier Elementary,354
Cityview Elementary,156
Anthony Middle,171
Anwatin Middle,225
Ronald McDonald House,
Northeast Middle,339
Olson Middle,254
Justice Page Middle,321
Sanford Middle,248
Franklin Middle,245
Andersen Middle,727
Minneapolis Academy & Career Center,56
FAIR High,222
MERC,
Loring-Nicollet High,31
Edison High,609
Longfellow Alternative High,
Henry High,647
Plymouth Youth Center,
Roosevelt High,593
Center School,
South High,797
Wellstone International High,73
Southwest High,341
Washburn High,607
Menlo Park Academy,44
North High,403
Transition Plus Services,176
Harrison Education Center,
Heritage Academy High,
Takoda Prep,27
MPS Online 6-12,243
VOA High,44
MPS Online K-5,45
Wellstone International High - SWS,20
Roosevelt High - SWS,
VOA High Extended,
Center School Extended,
Menlo Park Academy Extended,
MERC Extended,
Plymouth Youth Center Extended,
Nonpublic Shared Time,38
River Bend Educational Center,55
Stadium View,17
MPS Metro HA,5
MPS Metro DT,19
Hill City Elementary,65
Hill City Middle School,37
Hill City Senior High,43
McGregor Elementary,135
McGregor Area Learning Program,
McGregor Secondary,
South St. Paul Middle School,322
South St. Paul High School,444
SSP Virtual,
S St. Paul Community Lrng. Cntr.,59
Early Childhood Special Ed Program,
Lincoln Center Elementary,331
Kaposia Education Center Elementary,408
Anoka High School,871
Coon Rapids High School,1097
Anoka Middle School For The Arts,656
Coon Rapids Middle School,785
Jackson Middle,797
Northdale Middle,456
Blaine High School,1111
Andover High School,324
Anoka-Hennepin Regional High School,142
Champlin Park High School,1171
Oak View Middle,250
Roosevelt Middle,338
Secondary Technical Education Program S.T.E.P.,18
Adams Elementary,330
Crooked Lake Elementary,159
Hamilton Elementary,261
"Hoover Elementary - Biomedical, Health Sciences and Engineering",252
Jefferson Elementary,309
Johnsville Elementary,309
Lincoln Elementary School for the Arts,235
Madison Elementary,220
McKinley Elementary,124
Mississippi Elementary,271
"Monroe Elementary School - Mathematics, Science and Children's Engineering",273
Morris Bye Elementary,233
Sand Creek Elementary,285
"University Avenue Elementary - Aerospace, Children's Engineering and Science",357
Wilson Elementary,297
Evergreen Park Elementary - STEM School of Innovation,342
Eisenhower Elementary,274
Ramsey Elementary,533
Dayton Elementary,176
Oxbow Creek Elementary,304
Andover Elementary,245
Rum River Elementary,191
Champlin/Brooklyn Park Academy for Math and Environmental Science,319
Sunrise Elementary,223
Brookside Elementary,219
Anoka-Hennepin Technical High School,108
Bridges,46
Early Childhood/Special Education,489
Anoka-Hennepin Specialty Program,
Anthony Louis House,
River Trail Learning Center at LO Jacob,96
Pathways,67
Compass Online,10
Compass-Bell Center,24
Secondary Virtual School,39
Pines School - ACS,19
Pines School - NSP,16
Pines School - RJC,18
Pines School Day Program,11
Centennial High School,447
Centennial Middle,398
Centennial Area Learning Center,53
Journey,
Project Search,
Centennial Elementary,238
Centerville Elementary,85
Golden Lake Elementary,147
Rice Lake Elementary,91
Early Childhood Center,50
Blue Heron Elementary,211
Columbia Heights Senior High,838
Columbia Academy,581
Highland Elementary,413
North Park School for Innovation,297
Valley View Elementary,456
Columbia Academy Anchor Program,
Early Childhood,39
Columbia Heights Transition Program,
Anchor,9
Virtual Heights Secondary,13
Voluntary Prekindergarten School,84
Fridley Senior High,557
Fridley Middle,466
Hayes Elementary,312
Early Childhood Special Education School,
Stevenson Elementary,320
Transitions School,
Fridley Moore Lake Area Learning Center,99
Fridley Middle Area Learning Center,26
Saints Online Elementary,
Saints Online Middle School,6
Saints Online High School,41
Saints Academy,87
St. Francis High,336
St. Francis Middle,348
Transition 15,
ECSE@ ISD 15 Lifelong Learning,48
St. Francis Elementary,248
Cedar Creek Elementary School,248
East Bethel Elementary School,187
Crossroads School,
Restore Program,
Spring Lake Park Senior High,824
Early Education,68
Westwood Intermediate and Middle School,781
Northpoint Elementary,144
Woodcrest Elementary Spanish Immersion,220
Park Terrace Elementary,368
Centerview Elementary,358
SLP Schools Online Secondary,31
Elementary Lighthouse,11
Secondary Lighthouse,6
SLP Schools Online Elementary,5
Detroit Lakes Senior High,321
Detroit Lakes Middle,266
Rossman Elementary,242
E-Laker Online School,7
DETROIT LAKES AREA LEARNING CENTER,37
Lincoln Early Childhood Ed. Center,53
Roosevelt Elementary,322
Laker Transitions,8
Frazee Elementary,225
Frazee Secondary,170
Pine Point Elementary,
Gene Dillon Elementary School,344
Bemidji Middle,488
Northern Elementary,105
Bemidji Senior High,550
Bemidji Senior Lumberjack ALC,45
Paul Bunyan Center,
J.W. Smith Elementary,216
Lincoln Elementary,151
Lakeside Learning Center,
Solway Elementary,76
Horace May Elementary,135
First City School,
BEMIDJI AREA LEARNING CENTER,21
Bemidji Middle ALP,
Oshki Manidoo Center,
Blackduck Elementary,291
Blackduck Secondary,161
Kelliher Elementary,98
Kelliher Secondary,107
Red Lake Elementary,417
Red Lake Early Childhood Center,29
Ponemah Elementary,91
Red Lake Secondary,278
RED LAKE ALTERNATIVE LEARNING,50
Red Lake Middle School,235
Red Lake Middle Level ALC,
Red Lake Early Childhood Special Education Extended Year,
Sauk Rapids-Rice Senior High,439
Mississippi Heights Elementary,306
Rice Elementary,123
Pleasantview Elementary,326
Sauk Rapids-Rice Middle School,383
Hillside Early Childhood Center,36
Foley Elementary,183
Foley Senior High,179
Foley Intermediate Elementary,234
St. Clair Elementary,100
St. Clair Secondary,114
Kennedy Elementary,194
Hoover Elementary,158
Jefferson Elementary,76
Monroe Elementary,171
Roosevelt Elementary,144
Bridges Community Elementary,57
Rosa Parks Elementary,250
Washington Elementary,160
Franklin Elementary,265
Mankato West Senior High,369
Eagle Lake Elementary,95
Mankato East Senior High,548
Special Education,120
Mankato Area Public Schools Center for Learning,
Dakota Meadows Middle School,288
Prairie Winds Middle School,431
Central High Area Learning Center,78
Central Middle School ALC,
Central Freedom School,
Futures Program,25
Futures Sun,11
Prairie Care Mankato,11
Comfrey Elementary,21
Comfrey Secondary,30
Sleepy Eye Elementary,172
Sleepy Eye Sec.,98
Springfield Secondary,139
Springfield Elementary,147
Jefferson Elementary,266
Washington Learning Center,80
NEW ULM MIDDLE SCHOOL,219
New Ulm High School,196
Barnum Elementary,140
Barnum Secondary,124
Carlton Secondary,56
South Terrace Elementary,65
Churchill Elementary,156
CLOQUET AREA ALT. ED. PROGRAMS,69
Washington Elementary,261
Cloquet Early Childhood Education,52
Shared Time,
CAAEP Extended Day Program,
Cloquet Middle,380
Cloquet Senior,342
Cromwell-Wright Elementary,63
Cromwell-Wright Secondary,41
Moose Lake Secondary,90
Moose Lake Elementary,134
Lincoln Secondary,87
Winterquist Elementary,113
Wrenshall Elementary,84
Wrenshall Secondary,86
Central Senior High,67
Central Middle,49
Central Elementary,118
Southview Elementary,86
