Unnamed: 7,ECSE,KG,1,2,3,4,5,6,7,8,9,10,11,12
112 ALC Independent Study,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0
112 ALC Middle School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,140.0,141.0,0.0,0.0,0.0,0.0
196Online High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,33.0,38.0
199 Online High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,12.0,12.0
279Online Learning Program 6-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,49.0,0.0,0.0,0.0,0.0
279Online Learning Program 9-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,43.0,38.0,74.0
279Online Learning Program K-5,0.0,9.0,9.0,13.0,15.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5RiversOnline Elementary,0.0,3.0,2.0,1.0,6.0,5.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
5RiversOnline Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,18.0,32.0,41.0,72.0
6-12th Grade Building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,24.0,18.0,10.0,24.0,20.0
622 Alternative Middle/High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
622 Online High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0,39.0,38.0
882 Online 6-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,5.0,12.0,15.0,24.0
916 MAHTOMEDI ACADEMY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,49.0
917 CASE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
917 DCALS Main,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,85.0
917 DCALS North,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,60.0
917 Dash,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,18.0
917 Deaf/Hard of Hearing,6.0,1.0,1.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0
917 IDEA,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,4.0,4.0,9.0,8.0
917 New Chance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
917 Paces,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0
917 Riverside School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,10.0,7.0
917 Sun,0.0,0.0,0.0,0.0,0.0,4.0,9.0,6.0,13.0,5.0,4.0,5.0,13.0,29.0
917 TEA,3.0,4.0,5.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,5.0,1.0,1.0,5.0
917 TESA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
A. G. A. P. E. Teen Parent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,23.0
A.C.G.C. Elementary,19.0,74.0,74.0,59.0,62.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.C.G.C. Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,79.0,58.0,71.0,55.0
A.I. Jedlicka Middle School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,152.0,131.0,0.0,0.0,0.0,0.0
A/O Program,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABE Diploma Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
ACGC Elementary Grades 5 And 6,0.0,0.0,0.0,0.0,0.0,0.0,60.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
