DAT_YER	dst_num	dst_tye	DISTRICTNAME	sch_num	schoolname	gr_kg	gr_01	gr_02	gr_03	gr_04	gr_05	gr_06	gr_07	gr_08	gr_09	gr_10	gr_11	gr_12	tot_01_06	tot_07_12	tot_kg_12	free_meal_elg	red_meal_elg	free_red_meals	lep_srv	county	county_name	eco_dev
23-24	1	33	Minneapolis Public School District	9	DeLaSalle High School	0	0	0	0	0	0	0	0	0	189	165	188	151	0	693	693	0	159	159	0	27	Hennepin                                     	11
23-24	1	33	Minneapolis Public School District	11	Annunciation	22	36	35	40	34	40	45	51	42	0	0	0	0	230	93	345	0	14	14	0	27	Hennepin                                     	11
23-24	1	33	Minneapolis Public School District	12	Ascension Catholic School	34	34	29	36	32	32	41	41	34	0	0	0	0	204	75	313	0	255	255	41	27	Hennepin                                     	11 
23-24	1	33	Minneapolis Public School District	13	Blake School	0	0	0	0	0	0	0	0	0	127	138	132	129	0	526	526	0	0	0	0	27	Hennepin                                     	11
23-24	1	33	Minneapolis Public School District	15	Risen Christ	36	35	37	34	29	39	26	26	30	0	0	0	0	200	56	292	0	260	260	201	27	Hennepin                                     	11 
23-24	1	33	Minneapolis Public School District	17	Lake Country School	31	25	28	28	26	22	29	22	29	0	0	0	0	158	51	240	0	0	0	0	27	Hennepin                                     	11
23-24	1	33	Minneapolis Public School District	18	Minnehaha Academy - Upper School	0	0	0	0	0	0	0	0	0	86	86	97	88	0	357	357	0	23	23	0	27	Hennepin                                     	11
23-24	1	33	Minneapolis Public School District	36	St. Helena Catholic School	11	5	11	15	13	14	10	11	19	0	0	0	0	68	30	109	0	56	56	33	27	Hennepin                                     	11
23-24	1	33	Minneapolis Public School District	42	Trinity First Lutheran School	20	14	17	13	7	14	11	6	11	0	0	0	0	76	17	113	0	79	79	0	27	Hennepin                                     	11
23-24	1	33	Minneapolis Public School District	44	Carondelet Catholic School	25	42	30	44	44	66	44	52	37	0	0	0	0	270	89	384	0	2	2	0	27	Hennepin                                     	11
23-24	1	33	Minneapolis Public School District	45	St. John Paul II Catholic School	20	29	22	20	19	23	24	22	17	0	0	0	0	137	39	196	0	138	138	141	27	Hennepin                                     	11
23-24	1	33	Minneapolis Public School District	47	Our Lady of Peace	15	19	17	22	21	20	28	20	15	0	0	0	0	127	35	177	0	24	24	0	27	Hennepin                                     	11 
23-24	1	33	Minneapolis Public School District	59	Minnehaha Academy Middle & Lower Schools	45	44	36	59	44	50	54	58	88	0	0	0	0	287	146	478	0	32	32	0	27	Hennepin                                     	11
23-24	1	33	Minneapolis Public School District	69	City of Lakes Waldorf School	52	10	24	20	29	17	26	20	22	0	0	0	0	126	42	220	0	24	24	0	27	Hennepin                                     	11 
23-24	1	33	Minneapolis Public School District	894	Hope Academy	49	56	52	57	52	47	50	49	50	44	42	46	27	314	258	621	0	443	443	110	27	Hennepin                                     	11
23-24	1	33	Minneapolis Public School District	918	Cristo Rey Jesuit High School	0	0	0	0	0	0	0	0	0	117	89	104	103	0	413	413	0	270	270	0	27	Hennepin                                     	11
23-24	1	33	Minneapolis Public School District	935	Gaia Democratic School	0	1	3	2	0	2	3	3	4	4	3	4	4	11	22	33	0	27	27	0	27	Hennepin                                     	11
23-24	4	31	McGregor Public School District	1	Minisinaakwaang Leadership Academy	0	2	1	1	3	1	4	3	2	3	2	2	2	12	14	26	0	0	0	0	1	Aitkin                                       	03
23-24	6	33	South St. Paul Public School Dist	2	Holy Trinity	13	9	9	9	12	10	9	9	11	0	0	0	0	58	20	91	0	16	16	0	19	Dakota                                       	11
23-24	11	31	Anoka-Hennepin School District	12	Cross of Christ Lutheran	18	17	10	12	8	6	8	6	12	0	0	0	0	61	18	97	0	0	0	0	2	Anoka                                        	11
23-24	11	31	Anoka-Hennepin School District	13	Epiphany Catholic School	27	40	36	37	39	36	28	26	19	0	0	0	0	216	45	288	0	54	54	0	2	Anoka                                        	11
23-24	11	31	Anoka-Hennepin School District	14	Legacy Christian Academy	75	63	65	50	50	51	51	52	52	68	40	77	53	330	342	747	0	6	6	0	2	Anoka                                        	11
